GASVISION_FILEVERSION;4;7.0.1;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEforMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEforMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Online;1;11.07.2017;11:48:37;13.07.2017;20:52:36;Polytron;7000;ARYE0794;8.0;;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:01:35;49,44;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:02:35;48,57;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:03:35;46,53;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:04:35;44,34;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:05:35;41,94;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:06:35;38,4;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:07:35;37,99;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:08:35;46,04;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:09:35;48,63;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:10:35;48,35;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:11:35;46,95;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:12:35;44,67;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:13:35;42,15;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:14:35;39,64;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:15:35;36,19;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:16:35;43,5;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:17:35;48,9;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:18:35;49,13;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:19:35;48,01;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:20:35;46,25;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:21:35;43,61;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:22:35;40,95;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:23:35;38,5;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:24:35;34,84;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:25:35;42,1;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:26:35;47,54;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:27:35;48,11;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:28:35;47,03;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:29:35;44,78;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:30:35;42,28;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:31:35;40,03;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:32:35;37,25;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:33:35;33,27;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:34:35;39,8;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:35:35;46,1;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:36:35;46,8;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:37:35;45,51;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:38:35;43,76;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:39:35;41,33;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:40:35;39,43;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:41:35;37,66;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:42:35;33,56;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:43:35;36,96;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:44:35;40,96;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:45:35;41,57;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:46:35;40,7;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:47:35;39,06;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:48:35;37,14;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:49:35;35,38;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:50:35;32,85;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:51:35;42,08;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:52:35;46,48;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:53:35;46,6;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:54:35;45,5;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:55:35;43,16;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:56:35;40,6;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:57:35;38,23;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:58:35;36,05;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:59:35;33,25;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:00:35;32,61;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:01:35;39,54;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:02:35;40,68;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:03:35;40,34;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:04:35;39,15;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:05:35;37,16;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:06:35;34,84;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:07:35;31,5;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:08:35;37,45;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:09:35;40,75;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:10:35;41,06;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:11:35;40,03;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:12:35;37,98;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:13:35;36,11;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:14:35;34,26;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:15:35;31,65;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:16:35;38,1;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:17:35;40,41;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:18:35;40,35;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:19:35;39,35;;;;;;;;;;;;;;;;;;
