GASVISION_FILEVERSION;4;apr.50;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEFORMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEFORMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Avg.;60;03.10.2018;10:53:24;03.10.2018;18:56:51;Polytron;7000;ARBC0143;8.0;0;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:08:24;19,51;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:09:24;19,24;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:10:24;19,02;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:11:24;18,74;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:12:24;18,56;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:13:24;18,33;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:14:24;18,2;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:15:24;17,98;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:16:24;17,74;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:17:24;17,58;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:18:24;17,39;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:19:24;17,06;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:20:24;17,61;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:21:24;18,88;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:22:24;20,17;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:23:24;20,35;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:24:24;22,23;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:25:24;22,48;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:26:24;22,05;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:27:24;23,64;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:28:24;25,32;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:29:24;31,6;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:30:24;36,99;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:31:24;43,11;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:32:24;48,67;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:33:24;53,76;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:34:24;58,33;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:35:24;62,76;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:36:24;66,83;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:37:24;70,41;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:38:24;73,95;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:39:24;77,18;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:40:24;79,63;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:41:24;79,31;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:42:24;77,73;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:43:24;74,91;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:44:24;72,53;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:45:24;70,23;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:46:24;67,16;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:47:24;64,41;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:48:24;61,65;;;;;;;;;;;;;;;;;;
